TEST_BATTERY_ID,TEST_BATTERY_QUERY_FEATURE,TEST_BATTERY_QUERY_VALUE,1_Most_Similar_Battery_ID,1_Most_Similar_Battery_ID_SCORE,2_Most_Similar_Battery_ID,2_Most_Similar_Battery_ID_SCORE,3_Most_Similar_Battery_ID,3_Most_Similar_Battery_ID_SCORE,4_Most_Similar_Battery_ID,4_Most_Similar_Battery_ID_SCORE,5_Most_Similar_Battery_ID,5_Most_Similar_Battery_ID_SCORE,6_Most_Similar_Battery_ID,6_Most_Similar_Battery_ID_SCORE,7_Most_Similar_Battery_ID,7_Most_Similar_Battery_ID_SCORE,8_Most_Similar_Battery_ID,8_Most_Similar_Battery_ID_SCORE,9_Most_Similar_Battery_ID,9_Most_Similar_Battery_ID_SCORE,10_Most_Similar_Battery_ID,10_Most_Similar_Battery_ID_SCORE
b3c0,slope_last_10_cycles,-0.0008080124855041504,b1c18,7.3254108428955945e-06,b1c30,1.0555982589721701e-05,b1c5,3.32832336425781e-05,b1c43,4.276037216186521e-05,b1c27,4.971027374267578e-05,b1c35,4.999041557312005e-05,b1c15,6.0218572616577213e-05,b1c23,6.237030029296884e-05,b1c25,7.02381134033204e-05,b1c38,7.447600364685059e-05
b3c0,mean_grad_last_10_cycles,-0.0008690804243087769,b1c18,2.079308032989504e-05,b1c43,3.447830677032475e-05,b1c27,4.549026489257817e-05,b1c35,4.688501358032229e-05,b1c23,6.704330444335933e-05,b1c5,6.85840845108032e-05,b1c30,7.215738296508791e-05,b1c38,7.463693618774418e-05,b1c25,8.34196805953979e-05,b1c37,8.456408977508545e-05
b3c0,slope_last_50_cycles,-0.001098722219467163,b1c37,3.8599967956542015e-06,b1c43,3.932237625122077e-05,b1c34,3.970980644226081e-05,b1c35,4.405498504638666e-05,b1c45,4.41575050354004e-05,b1c16,5.917787551879884e-05,b1c18,6.613016128540036e-05,b1c31,6.901383399963382e-05,b1c30,6.929874420166012e-05,b1c27,7.159590721130373e-05
b3c0,mean_grad_last_50_cycles,-0.0011107832193374633,b1c37,2.341270446777491e-06,b1c34,4.004418849945079e-05,b1c43,4.0920376777648856e-05,b1c35,4.662513732910144e-05,b1c16,4.955232143402091e-05,b1c30,5.380511283874516e-05,b1c45,5.8119297027587995e-05,b1c31,5.8311820030212264e-05,b1c18,6.18970394134521e-05,b1c44,6.947159767150862e-05
b3c0,slope_last_100_cycles,-0.0009891146421432495,b1c36,2.427697181701634e-06,b1c16,6.109476089477539e-06,b1c33,8.85903835296637e-06,b1c18,1.187860965728765e-05,b1c15,1.2748241424560608e-05,b1c43,2.0604729652404707e-05,b1c44,2.3053288459777858e-05,b1c35,2.7041435241699236e-05,b2c6,3.489434719085695e-05,b1c32,3.66818904876709e-05
b3c0,mean_grad_last_100_cycles,-0.000992559790611267,b1c36,1.5881657600403092e-06,b1c18,1.0352730751037736e-05,b1c33,1.2678205966949567e-05,b1c16,1.2822449207305908e-05,b1c15,1.5912652015686105e-05,b1c43,2.2399425506591754e-05,b1c44,2.787888050079343e-05,b1c35,2.900749444961553e-05,b2c6,3.455460071563718e-05,b1c32,3.523081541061395e-05
b3c0,slope_last_200_cycles,-0.0006898555159568786,b1c11,5.309879779815622e-06,b1c25,8.724331855773865e-06,b1c28,1.2358427047729501e-05,b1c29,1.3510584831237797e-05,b1c5,1.3601779937744076e-05,b1c14,1.4935135841369612e-05,b1c18,1.5349984169006278e-05,b1c23,2.4957656860351523e-05,b1c21,2.6058852672576887e-05,b1c9,3.332525491714475e-05
b3c0,mean_grad_last_200_cycles,-0.0006903490424156189,b1c11,5.449354648590153e-06,b1c25,8.264183998107888e-06,b1c29,1.1672973632812509e-05,b1c5,1.2797713279724177e-05,b1c28,1.3490319252014156e-05,b1c14,1.5299618244171112e-05,b1c18,1.579463481903075e-05,b1c23,2.3813843727111855e-05,b1c9,3.1692981719970664e-05,b1c21,3.2129436731338475e-05
b3c0,slope_last_300_cycles,-0.0005124857028325399,b1c5,8.197625478109129e-07,b1c41,1.0228157043456945e-06,b1c24,5.18778959910076e-06,b1c11,1.2301007906595778e-05,b1c23,1.4612674713134757e-05,b1c18,1.6731421152750667e-05,b1c40,1.9380052884419765e-05,b1c9,2.2274454434712703e-05,b1c29,2.880891164143873e-05,b1c20,3.0241012573242222e-05
b3c0,mean_grad_last_300_cycles,-0.0005125476916631063,b1c5,4.267692565917882e-07,b1c41,1.1851390202840097e-06,b1c24,5.184610684712742e-06,b1c11,1.3239383697509813e-05,b1c23,1.4464855194091814e-05,b1c18,1.772642135620115e-05,b1c40,2.223889032999674e-05,b1c9,2.3984909057617166e-05,b1c29,2.8405388196309418e-05,b1c20,2.9833316802978487e-05
